AddressID,CustomerID,AddressType,AddressLine1,AddressLine2,City
1,1,Home,1491 Al Murabba St.,"Office 737, Al Faisaliyah District, Najran, Saudi Arabia",Najran
2,1,home,2277 Al Shati St.,"Suite 213, Al Nakheel District, Medina, Saudi Arabia",Medina
3,1,Work,132 Al Olaya St.,"Near King Fahad Road, Al Hamra District, Jazan, Saudi Arabia",Jazan
4,2,Work,9591 Al Zahra St.,"Near King Fahad Road, Al Zahra District, Jeddah, Saudi Arabia",Jeddah
5,2,Work,2256 Al Yasmin St.,"Office 573, Al Shati District, Yanbu, Saudi Arabia",Yanbu
6,2,home,7489 Al Shati St.,"Office 638, Al Nakheel District, Jazan, Saudi Arabia",Jazan
7,3,Home,6574 Al Murabba St.,"Unit 7, Block E, Medina, Saudi Arabia",Medina
8,3,Work,529 Al Hamra St.,"Office 791, Al Zahra District, Riyadh, Saudi Arabia",Riyadh
9,3,home,5952 Al Faisaliyah St.,"Suite 307, Al Nakheel District, Medina, Saudi Arabia",Medina
10,4,,5478 Al Hamra St.,"Unit 59, Block E, Buraidah, Saudi Arabia",Buraidah
11,5,Home,6788 Al Nakheel St.,"Unit 72, Block A, Medina, Saudi Arabia",Medina
12,5,home,2360 Al Olaya St.,"Villa 67, Al Zahra District, Jazan, Saudi Arabia",Jazan
13,6,,8023 Al Malaz St.,"Office 561, Al Olaya District, Taif, Saudi Arabia",Taif
14,6,WORK,1447 Al Rawdah St.,"Villa 64, Al Yasmin District, Jazan, Saudi Arabia",Jazan
15,6,WORK,9405 Al Malaz St.,"Office 659, Al Rawdah District, Dammam, Saudi Arabia",Dammam
16,7,,788 Al Nakheel St.,"Unit 86, Block B, Jazan, Saudi Arabia",Jazan
17,8,Home,9674 Al Zahra St.,"Suite 761, Al Hamra District, Najran, Saudi Arabia",Najran
18,8,WORK,2772 Al Faisaliyah St.,"Office 434, Al Yasmin District, Buraidah, Saudi Arabia",Buraidah
19,9,,3450 Al Shati St.,"Near King Fahad Road, Al Murabba District, Najran, Saudi Arabia",Najran
20,10,Work,9302 Al Hamra St.,"Building 13, Floor 1, Tabuk, Saudi Arabia",Tabuk
21,11,Work,7150 Al Malaz St.,"Suite 264, Al Safa District, Hail, Saudi Arabia",Hail
22,12,,7227 Al Faisaliyah St.,"Unit 11, Block D, Jeddah, Saudi Arabia",Jeddah
23,13,WORK,5691 Al Yasmin St.,"Suite 915, Al Faisaliyah District, Abha, Saudi Arabia",Abha
24,13,,7883 Al Nakheel St.,"Building 28, Floor 4, Jeddah, Saudi Arabia",Jeddah
25,13,WORK,2348 Al Murabba St.,"Near King Fahad Road, Al Rawdah District, Mecca, Saudi Arabia",Mecca
26,14,,6445 Al Murabba St.,"Apartment 18, Al Faisaliyah District, Riyadh, Saudi Arabia",Riyadh
